Statistics;Type;Object;Product;Vehicle type;Source;Sale batch;BOM;Period;Account;Destination;Zone;Staff type;value;unit;
CO2 by Facility Size;;Oslo Factory;;;;;;Time period;;;;;0;CO2;
CO2 by Facility Size;;Bergen Factory;;;;;;Time period;;;;;0;CO2;
CO2 by Facility Size;;Kristiansand Factory;;;;;;Time period;;;;;0;CO2;
CO2 by Facility Size;;Trondheim Factory;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Closure;DC;DC Oslo;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Closure;DC;DC Bergen;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Closure;DC;DC Trondheim;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Closure;DC;DC Stavanger;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Closure;DC;DC Kristiansand;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Closure;DC;DC Tromsø;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Closure;Factory;Oslo Factory;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Closure;Factory;Bergen Factory;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Closure;Factory;Kristiansand Factory;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Closure;Factory;Trondheim Factory;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Opening;DC;DC Oslo;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Opening;DC;DC Bergen;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Opening;DC;DC Trondheim;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Opening;DC;DC Stavanger;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Opening;DC;DC Kristiansand;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Opening;DC;DC Tromsø;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Opening;Factory;Oslo Factory;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Opening;Factory;Bergen Factory;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Opening;Factory;Kristiansand Factory;;;;;;Time period;;;;;0;CO2;
CO2 from Facility Opening;Factory;Trondheim Factory;;;;;;Time period;;;;;0;CO2;
CO2 from Other Cause;DC;DC Oslo;;;;;;Time period;;;;;0;CO2;
CO2 from Other Cause;DC;DC Bergen;;;;;;Time period;;;;;0;CO2;
CO2 from Other Cause;DC;DC Trondheim;;;;;;Time period;;;;;0;CO2;
CO2 from Other Cause;DC;DC Stavanger;;;;;;Time period;;;;;0;CO2;
CO2 from Other Cause;DC;DC Kristiansand;;;;;;Time period;;;;;0;CO2;
CO2 from Other Cause;DC;DC Tromsø;;;;;;Time period;;;;;0;CO2;
CO2 from Other Cause;Factory;Oslo Factory;;;;;;Time period;;;;;0;CO2;
CO2 from Other Cause;Factory;Bergen Factory;;;;;;Time period;;;;;0;CO2;
CO2 from Other Cause;Factory;Kristiansand Factory;;;;;;Time period;;;;;0;CO2;
CO2 from Other Cause;Factory;Trondheim Factory;;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Oslo;Biscuits aux noix et aux raisins;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Oslo;Biscuits fourrés a la confiture;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Oslo;Levure chimique;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Oslo;Sucre;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Oslo;Beurre mou;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Oslo;Noix hachees;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Oslo;Raisins sec;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Bergen;Biscuits aux noix et aux raisins;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Bergen;Biscuits fourrés a la confiture;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Bergen;Levure chimique;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Bergen;Sucre;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Bergen;Beurre mou;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Bergen;Noix hachees;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Bergen;Raisins sec;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Trondheim;Biscuits aux noix et aux raisins;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Trondheim;Biscuits fourrés a la confiture;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Trondheim;Levure chimique;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Trondheim;Sucre;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Trondheim;Beurre mou;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Trondheim;Noix hachees;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Trondheim;Raisins sec;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Stavanger;Biscuits aux noix et aux raisins;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Stavanger;Biscuits fourrés a la confiture;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Stavanger;Levure chimique;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Stavanger;Sucre;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Stavanger;Beurre mou;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Stavanger;Noix hachees;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Stavanger;Raisins sec;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Kristiansand;Biscuits aux noix et aux raisins;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Kristiansand;Biscuits fourrés a la confiture;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Kristiansand;Levure chimique;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Kristiansand;Sucre;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Kristiansand;Beurre mou;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Kristiansand;Noix hachees;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Kristiansand;Raisins sec;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Tromsø;Biscuits aux noix et aux raisins;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Tromsø;Biscuits fourrés a la confiture;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Tromsø;Levure chimique;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Tromsø;Sucre;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Tromsø;Beurre mou;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Tromsø;Noix hachees;;;;;Time period;;;;;0;CO2;
CO2 from Product Carrying;;DC Tromsø;Raisins sec;;;;;Time period;;;;;0;CO2;
Demand (Products Backlog);DC;DC Oslo;Biscuits aux noix et aux raisins;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Oslo;Biscuits fourrés a la confiture;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Oslo;Levure chimique;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Oslo;Sucre;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Oslo;Beurre mou;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Oslo;Noix hachees;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Oslo;Raisins sec;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Bergen;Biscuits aux noix et aux raisins;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Bergen;Biscuits fourrés a la confiture;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Bergen;Levure chimique;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Bergen;Sucre;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Bergen;Beurre mou;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Bergen;Noix hachees;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Bergen;Raisins sec;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Trondheim;Biscuits aux noix et aux raisins;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Trondheim;Biscuits fourrés a la confiture;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Trondheim;Levure chimique;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Trondheim;Sucre;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Trondheim;Beurre mou;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Trondheim;Noix hachees;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Trondheim;Raisins sec;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Stavanger;Biscuits aux noix et aux raisins;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Stavanger;Biscuits fourrés a la confiture;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Stavanger;Levure chimique;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Stavanger;Sucre;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Stavanger;Beurre mou;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Stavanger;Noix hachees;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Stavanger;Raisins sec;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Kristiansand;Biscuits aux noix et aux raisins;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Kristiansand;Biscuits fourrés a la confiture;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Kristiansand;Levure chimique;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Kristiansand;Sucre;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Kristiansand;Beurre mou;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Kristiansand;Noix hachees;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Kristiansand;Raisins sec;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Tromsø;Biscuits aux noix et aux raisins;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Tromsø;Biscuits fourrés a la confiture;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Tromsø;Levure chimique;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Tromsø;Sucre;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Tromsø;Beurre mou;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Tromsø;Noix hachees;;;;;Time period;;;;;0;kg;
Demand (Products Backlog);DC;DC Tromsø;Raisins sec;;;;;Time period;;;;;0;kg;
Demand Placed (Dropped Orders) by Customer;Customer;Karim;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Order;
Demand Placed (Dropped Orders) by Customer;Customer_OnlineShop;Ahmed;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Order;
Demand Placed (Dropped Orders) by Customer;Customer_OnlineShop;Amin;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Order;
Demand Placed (Dropped Orders) by Customer;Customer_OnlineShop;Salah;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Order;
Demand Placed (Dropped Orders) by Customer;Customer;Yassine;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Order;
Demand Placed (Dropped Orders) by Customer;Customer;Moez;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Order;
Demand Placed (Dropped Orders) by Customer;Customer;Fathi;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Order;
Demand Placed (Dropped Orders) by Customer;Customer;Yasmin;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Order;
Demand Placed (Dropped Products) by Customer;Customer;Karim;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1.1;kg;
Demand Placed (Dropped Products) by Customer;Customer_OnlineShop;Ahmed;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;5.5;kg;
Demand Placed (Dropped Products) by Customer;Customer_OnlineShop;Amin;Biscuits fourrés a la confiture;;none;;;Time period;;;;;11;kg;
Demand Placed (Dropped Products) by Customer;Customer_OnlineShop;Salah;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;3.3;kg;
Demand Placed (Dropped Products) by Customer;Customer;Yassine;Biscuits fourrés a la confiture;;none;;;Time period;;;;;6.6;kg;
Demand Placed (Dropped Products) by Customer;Customer;Moez;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;4.4;kg;
Demand Placed (Dropped Products) by Customer;Customer;Fathi;Biscuits fourrés a la confiture;;none;;;Time period;;;;;7.7;kg;
Demand Placed (Dropped Products) by Customer;Customer;Yasmin;Biscuits fourrés a la confiture;;none;;;Time period;;;;;5.5;kg;
Demand Placed (Orders) by Customer;Customer;Karim;Biscuits aux noix et aux raisins;;;;;Time period;;;;;1;Order;
Demand Placed (Orders) by Customer;Customer_OnlineShop;Ahmed;Biscuits aux noix et aux raisins;;;;;Time period;;;;;1;Order;
Demand Placed (Orders) by Customer;Customer_OnlineShop;Amin;Biscuits fourrés a la confiture;;;;;Time period;;;;;1;Order;
Demand Placed (Orders) by Customer;Customer_OnlineShop;Salah;Biscuits aux noix et aux raisins;;;;;Time period;;;;;1;Order;
Demand Placed (Orders) by Customer;Customer;Yassine;Biscuits fourrés a la confiture;;;;;Time period;;;;;1;Order;
Demand Placed (Orders) by Customer;Customer;Moez;Biscuits aux noix et aux raisins;;;;;Time period;;;;;1;Order;
Demand Placed (Orders) by Customer;Customer;Fathi;Biscuits fourrés a la confiture;;;;;Time period;;;;;1;Order;
Demand Placed (Orders) by Customer;Customer;Yasmin;Biscuits fourrés a la confiture;;;;;Time period;;;;;1;Order;
Demand Placed (Products) by Customer;Customer;Karim;Biscuits aux noix et aux raisins;;;;;Time period;;;;;1.1;kg;
Demand Placed (Products) by Customer;Customer_OnlineShop;Ahmed;Biscuits aux noix et aux raisins;;;;;Time period;;;;;5.5;kg;
Demand Placed (Products) by Customer;Customer_OnlineShop;Amin;Biscuits fourrés a la confiture;;;;;Time period;;;;;11;kg;
Demand Placed (Products) by Customer;Customer_OnlineShop;Salah;Biscuits aux noix et aux raisins;;;;;Time period;;;;;3.3;kg;
Demand Placed (Products) by Customer;Customer;Yassine;Biscuits fourrés a la confiture;;;;;Time period;;;;;6.6;kg;
Demand Placed (Products) by Customer;Customer;Moez;Biscuits aux noix et aux raisins;;;;;Time period;;;;;4.4;kg;
Demand Placed (Products) by Customer;Customer;Fathi;Biscuits fourrés a la confiture;;;;;Time period;;;;;7.7;kg;
Demand Placed (Products) by Customer;Customer;Yasmin;Biscuits fourrés a la confiture;;;;;Time period;;;;;5.5;kg;
Facility Cost;DC;DC Oslo;;;;;;Time period;;;;;220,249.997;EUR;
Facility Cost;DC;DC Bergen;;;;;;Time period;;;;;220,249.997;EUR;
Facility Cost;DC;DC Trondheim;;;;;;Time period;;;;;220,249.997;EUR;
Facility Cost;DC;DC Stavanger;;;;;;Time period;;;;;220,249.997;EUR;
Facility Cost;DC;DC Kristiansand;;;;;;Time period;;;;;220,249.997;EUR;
Facility Cost;DC;DC Tromsø;;;;;;Time period;;;;;220,249.997;EUR;
Facility Cost;Factory;Oslo Factory;;;;;;Time period;;;;;0;EUR;
Facility Cost;Factory;Bergen Factory;;;;;;Time period;;;;;0;EUR;
Facility Cost;Factory;Kristiansand Factory;;;;;;Time period;;;;;0;EUR;
Facility Cost;Factory;Trondheim Factory;;;;;;Time period;;;;;0;EUR;
Initial Site Cost;DC;DC Oslo;;;;;;Time period;;;;;0;EUR;
Initial Site Cost;DC;DC Bergen;;;;;;Time period;;;;;0;EUR;
Initial Site Cost;DC;DC Trondheim;;;;;;Time period;;;;;0;EUR;
Initial Site Cost;DC;DC Stavanger;;;;;;Time period;;;;;0;EUR;
Initial Site Cost;DC;DC Kristiansand;;;;;;Time period;;;;;0;EUR;
Initial Site Cost;DC;DC Tromsø;;;;;;Time period;;;;;0;EUR;
Initial Site Cost;Factory;Oslo Factory;;;;;;Time period;;;;;0;EUR;
Initial Site Cost;Factory;Bergen Factory;;;;;;Time period;;;;;0;EUR;
Initial Site Cost;Factory;Kristiansand Factory;;;;;;Time period;;;;;0;EUR;
Initial Site Cost;Factory;Trondheim Factory;;;;;;Time period;;;;;0;EUR;
On-hand Inventory;DC;DC Oslo;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
On-hand Inventory;DC;DC Oslo;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
On-hand Inventory;DC;DC Oslo;Levure chimique;;;;;Time period;;;;;0.05;kg;
On-hand Inventory;DC;DC Oslo;Sucre;;;;;Time period;;;;;10;kg;
On-hand Inventory;DC;DC Oslo;Beurre mou;;;;;Time period;;;;;2;kg;
On-hand Inventory;DC;DC Oslo;Noix hachees;;;;;Time period;;;;;1;kg;
On-hand Inventory;DC;DC Oslo;Raisins sec;;;;;Time period;;;;;1;kg;
On-hand Inventory;DC;DC Bergen;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
On-hand Inventory;DC;DC Bergen;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
On-hand Inventory;DC;DC Bergen;Levure chimique;;;;;Time period;;;;;0.05;kg;
On-hand Inventory;DC;DC Bergen;Sucre;;;;;Time period;;;;;10;kg;
On-hand Inventory;DC;DC Bergen;Beurre mou;;;;;Time period;;;;;2;kg;
On-hand Inventory;DC;DC Bergen;Noix hachees;;;;;Time period;;;;;1;kg;
On-hand Inventory;DC;DC Bergen;Raisins sec;;;;;Time period;;;;;1;kg;
On-hand Inventory;DC;DC Trondheim;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
On-hand Inventory;DC;DC Trondheim;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
On-hand Inventory;DC;DC Trondheim;Levure chimique;;;;;Time period;;;;;0.05;kg;
On-hand Inventory;DC;DC Trondheim;Sucre;;;;;Time period;;;;;10;kg;
On-hand Inventory;DC;DC Trondheim;Beurre mou;;;;;Time period;;;;;2;kg;
On-hand Inventory;DC;DC Trondheim;Noix hachees;;;;;Time period;;;;;1;kg;
On-hand Inventory;DC;DC Trondheim;Raisins sec;;;;;Time period;;;;;1;kg;
On-hand Inventory;DC;DC Stavanger;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
On-hand Inventory;DC;DC Stavanger;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
On-hand Inventory;DC;DC Stavanger;Levure chimique;;;;;Time period;;;;;0.05;kg;
On-hand Inventory;DC;DC Stavanger;Sucre;;;;;Time period;;;;;10;kg;
On-hand Inventory;DC;DC Stavanger;Beurre mou;;;;;Time period;;;;;2;kg;
On-hand Inventory;DC;DC Stavanger;Noix hachees;;;;;Time period;;;;;1;kg;
On-hand Inventory;DC;DC Stavanger;Raisins sec;;;;;Time period;;;;;1;kg;
On-hand Inventory;DC;DC Kristiansand;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
On-hand Inventory;DC;DC Kristiansand;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
On-hand Inventory;DC;DC Kristiansand;Levure chimique;;;;;Time period;;;;;0.05;kg;
On-hand Inventory;DC;DC Kristiansand;Sucre;;;;;Time period;;;;;10;kg;
On-hand Inventory;DC;DC Kristiansand;Beurre mou;;;;;Time period;;;;;2;kg;
On-hand Inventory;DC;DC Kristiansand;Noix hachees;;;;;Time period;;;;;1;kg;
On-hand Inventory;DC;DC Kristiansand;Raisins sec;;;;;Time period;;;;;1;kg;
On-hand Inventory;DC;DC Tromsø;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
On-hand Inventory;DC;DC Tromsø;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
On-hand Inventory;DC;DC Tromsø;Levure chimique;;;;;Time period;;;;;0.05;kg;
On-hand Inventory;DC;DC Tromsø;Sucre;;;;;Time period;;;;;10;kg;
On-hand Inventory;DC;DC Tromsø;Beurre mou;;;;;Time period;;;;;2;kg;
On-hand Inventory;DC;DC Tromsø;Noix hachees;;;;;Time period;;;;;1;kg;
On-hand Inventory;DC;DC Tromsø;Raisins sec;;;;;Time period;;;;;1;kg;
Other Cost;DC;DC Oslo;;;;;;Time period;;;;;0;EUR;
Other Cost;DC;DC Bergen;;;;;;Time period;;;;;0;EUR;
Other Cost;DC;DC Trondheim;;;;;;Time period;;;;;0;EUR;
Other Cost;DC;DC Stavanger;;;;;;Time period;;;;;0;EUR;
Other Cost;DC;DC Kristiansand;;;;;;Time period;;;;;0;EUR;
Other Cost;DC;DC Tromsø;;;;;;Time period;;;;;0;EUR;
Other Cost;Factory;Oslo Factory;;;;;;Time period;;;;;0;EUR;
Other Cost;Factory;Bergen Factory;;;;;;Time period;;;;;0;EUR;
Other Cost;Factory;Kristiansand Factory;;;;;;Time period;;;;;0;EUR;
Other Cost;Factory;Trondheim Factory;;;;;;Time period;;;;;0;EUR;
Peak Capacity;DC;DC Oslo;;;;;;Time period;;;;;44.05;kg;
Peak Capacity;DC;DC Bergen;;;;;;Time period;;;;;44.05;kg;
Peak Capacity;DC;DC Trondheim;;;;;;Time period;;;;;44.05;kg;
Peak Capacity;DC;DC Stavanger;;;;;;Time period;;;;;44.05;kg;
Peak Capacity;DC;DC Kristiansand;;;;;;Time period;;;;;44.05;kg;
Peak Capacity;DC;DC Tromsø;;;;;;Time period;;;;;44.05;kg;
Peak Capacity;Factory;Oslo Factory;;;;;;Time period;;;;;0;kg;
Peak Capacity;Factory;Bergen Factory;;;;;;Time period;;;;;0;kg;
Peak Capacity;Factory;Kristiansand Factory;;;;;;Time period;;;;;0;kg;
Peak Capacity;Factory;Trondheim Factory;;;;;;Time period;;;;;0;kg;
Profit;;DC Oslo;;;;;;Time period;;;;;-220,249.997;EUR;
Profit;;DC Bergen;;;;;;Time period;;;;;-220,249.997;EUR;
Profit;;DC Trondheim;;;;;;Time period;;;;;-220,249.997;EUR;
Profit;;DC Stavanger;;;;;;Time period;;;;;-220,249.997;EUR;
Profit;;DC Kristiansand;;;;;;Time period;;;;;-220,249.997;EUR;
Profit;;DC Tromsø;;;;;;Time period;;;;;-220,249.997;EUR;
Profit;;Oslo Factory;;;;;;Time period;;;;;0;EUR;
Profit;;Bergen Factory;;;;;;Time period;;;;;0;EUR;
Profit;;Kristiansand Factory;;;;;;Time period;;;;;0;EUR;
Profit;;Trondheim Factory;;;;;;Time period;;;;;0;EUR;
Service Level by Orders;;Karim;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Ratio;
Service Level by Orders;;Ahmed;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Ratio;
Service Level by Orders;;Amin;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Ratio;
Service Level by Orders;;Salah;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Ratio;
Service Level by Orders;;Yassine;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Ratio;
Service Level by Orders;;Moez;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Ratio;
Service Level by Orders;;Fathi;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Ratio;
Service Level by Orders;;Yasmin;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Ratio;
Service Level by Products;;Karim;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Ratio;
Service Level by Products;;Ahmed;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Ratio;
Service Level by Products;;Amin;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Ratio;
Service Level by Products;;Salah;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Ratio;
Service Level by Products;;Yassine;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Ratio;
Service Level by Products;;Moez;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Ratio;
Service Level by Products;;Fathi;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Ratio;
Service Level by Products;;Yasmin;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Ratio;
Service Level by Revenue;;Karim;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Ratio;
Service Level by Revenue;;Ahmed;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Ratio;
Service Level by Revenue;;Amin;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Ratio;
Service Level by Revenue;;Salah;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Ratio;
Service Level by Revenue;;Yassine;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Ratio;
Service Level by Revenue;;Moez;Biscuits aux noix et aux raisins;;none;;;Time period;;;;;1;Ratio;
Service Level by Revenue;;Fathi;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Ratio;
Service Level by Revenue;;Yasmin;Biscuits fourrés a la confiture;;none;;;Time period;;;;;1;Ratio;
Site Closure Cost;DC;DC Oslo;;;;;;Time period;;;;;0;EUR;
Site Closure Cost;DC;DC Bergen;;;;;;Time period;;;;;0;EUR;
Site Closure Cost;DC;DC Trondheim;;;;;;Time period;;;;;0;EUR;
Site Closure Cost;DC;DC Stavanger;;;;;;Time period;;;;;0;EUR;
Site Closure Cost;DC;DC Kristiansand;;;;;;Time period;;;;;0;EUR;
Site Closure Cost;DC;DC Tromsø;;;;;;Time period;;;;;0;EUR;
Site Closure Cost;Factory;Oslo Factory;;;;;;Time period;;;;;0;EUR;
Site Closure Cost;Factory;Bergen Factory;;;;;;Time period;;;;;0;EUR;
Site Closure Cost;Factory;Kristiansand Factory;;;;;;Time period;;;;;0;EUR;
Site Closure Cost;Factory;Trondheim Factory;;;;;;Time period;;;;;0;EUR;
Total CO2;;DC Oslo;;;;;;Time period;;;;;0;CO2;
Total CO2;;DC Bergen;;;;;;Time period;;;;;0;CO2;
Total CO2;;DC Trondheim;;;;;;Time period;;;;;0;CO2;
Total CO2;;DC Stavanger;;;;;;Time period;;;;;0;CO2;
Total CO2;;DC Kristiansand;;;;;;Time period;;;;;0;CO2;
Total CO2;;DC Tromsø;;;;;;Time period;;;;;0;CO2;
Total CO2;;Oslo Factory;;;;;;Time period;;;;;0;CO2;
Total CO2;;Bergen Factory;;;;;;Time period;;;;;0;CO2;
Total CO2;;Kristiansand Factory;;;;;;Time period;;;;;0;CO2;
Total CO2;;Trondheim Factory;;;;;;Time period;;;;;0;CO2;
Total Cost;DC;DC Oslo;;;;;;Time period;;;;;220,249.997;EUR;
Total Cost;DC;DC Bergen;;;;;;Time period;;;;;220,249.997;EUR;
Total Cost;DC;DC Trondheim;;;;;;Time period;;;;;220,249.997;EUR;
Total Cost;DC;DC Stavanger;;;;;;Time period;;;;;220,249.997;EUR;
Total Cost;DC;DC Kristiansand;;;;;;Time period;;;;;220,249.997;EUR;
Total Cost;DC;DC Tromsø;;;;;;Time period;;;;;220,249.997;EUR;
Total Cost;Factory;Oslo Factory;;;;;;Time period;;;;;0;EUR;
Total Cost;Factory;Bergen Factory;;;;;;Time period;;;;;0;EUR;
Total Cost;Factory;Kristiansand Factory;;;;;;Time period;;;;;0;EUR;
Total Cost;Factory;Trondheim Factory;;;;;;Time period;;;;;0;EUR;
